1.0,Accord
1.0,"2.4 S NAVI AT View Buy in CASH for Php 1,938,000.00"
1.0,"3.5 SV AT V6 View Buy in CASH for Php 2,317,000.00"
1.0,Amaze
1.0,"1.3 E MT View Buy in CASH for Php 661,000.00"
1.0,"1.3 S AT View Buy in CASH for Php 722,000.00"
1.0,"1.3 V NAVI AT View Buy in CASH for Php 834,000.00"
1.0,BR-V
1.0,"1.5L S CVT View Buy in CASH for Php 1,035,000.00 15% ALL IN DP PROMO for only Php 74k Downpayment"
1.0,"1.5L V Navi CVT View Buy in CASH for Php 1,155,000.00 15% ALL IN DP PROMO for only Php 84k Downpayment"
1.0,Brio
1.0,"1.3 S AT View Buy in CASH for Php 722,000.00 15% ALL IN DP PROMO for only Php 45k Downpayment"
1.0,"1.3 S MT View Buy in CASH for Php 661,000.00 15% ALL IN DP PROMO for only Php 42k Downpayment"
1.0,"1.3 V NAVI AT View Buy in CASH for Php 843,000.00 15% ALL IN DP PROMO for only Php 51k Downpayment"
1.0,City
1.0,"1.5 E CVT View Buy in CASH for Php 868,000.00 15% ALL IN DP PROMO for only Php 61k Downpayment"
1.0,"1.5 E MT View Buy in CASH for Php 828,000.00 15% ALL IN DP PROMO for only Php 59k Downpayment"
1.0,"1.5 VX Navi CVT View Buy in CASH for Php 976,000.00 15% ALL IN DP PROMO for only Php 70k Downpayment"
1.0,"City 1.5 VX+ Navi CVT View Buy in CASH for Php 1,059,000.00 15% ALL IN DP PROMO for only Php 76k Downpayment"
1.0,Civic
1.0,"1.5L RS TURBO View Buy in CASH for Php 1,608,000.00"
1.0,"1.8L E CVT View Buy in CASH for Php 1,185,000.00"
1.0,CR-V
1.0,"2.0 S AT View Buy in CASH for Php 1,668,000.00 15% ALL IN DP PROMO for only Php 99k Downpayment"
1.0,"S diesel 9AT (7seaters) View Buy in CASH for Php 1,858,000.00"
1.0,"SX Diesel 9AT (7seaters) View Buy in CASH for Php 2,138,000.00 15% ALL IN DP PROMO for only Php 128k Downpayment"
1.0,"V Diesel 9AT (7seaters) View Buy in CASH for Php 1,688,000.00"
1.0,CRZ
1.0,"1.5 MODULO manual View Buy in CASH for Php 1,470,000.00"
1.0,"1.5 MUGEN manual View Buy in CASH for Php 1,860,000.00"
1.0,"1.5 Standard automatic View Buy in CASH for Php 1,480,000.00"
1.0,"1.5 Standard Manual View Buy in CASH for Php 1,390,000.00"
1.0,"MODULO CVT View Buy in CASH for Php 1,560,000.00"
1.0,"MUGEN CVT View Buy in CASH for Php 1,960,000.00"
1.0,HR-V
1.0,"1.8 E CVT (17YM) View Buy in CASH for Php 1,295,000.00 15% ALL IN DP PROMO for only Php 76k Downpayment"
1.0,"1.8 EL CVT (17YM) View Buy in CASH for Php 1,480,000.00 15% ALL IN DP PROMO for only Php 31k Downpayment"
1.0,Jazz
1.0,"1.5 V CVT View Buy in CASH for Php 918,000.00 15% ALL IN DP PROMO for only Php 63k Downpayment"
1.0,"1.5 V MT View Buy in CASH for Php 868,000.00 15% ALL IN DP PROMO for only Php 62k Downpayment"
1.0,"1.5 VX CVT View Buy in CASH for Php 998,000.00 15% ALL IN DP PROMO for only Php 67k Downpayment"
1.0,Mobilio
